distance,duration,from_station_id,to_station_id
0,0,BT-01,BT-01
423,109,BT-01,BT-03
1068,370,BT-01,BT-04
868,261,BT-01,BT-05
2067,640,BT-01,CBD-03
1870,569,BT-01,CBD-04
2142,520,BT-01,CBD-05
1896,510,BT-01,CBD-06
2594,864,BT-01,CBD-07
1343,397,BT-01,CBD-13
3631,1323,BT-01,CD-01
3219,1097,BT-01,CH-01
3950,1384,BT-01,CH-02
3752,1267,BT-01,CH-03
4378,1538,BT-01,CH-05
3834,1331,BT-01,CH-06
3852,1440,BT-01,CH-07
3396,1209,BT-01,CH-08
3106,1111,BT-01,CH-09
2750,935,BT-01,CH-12
4457,1493,BT-01,CH-15
1504,374,BT-01,DPD-01
12158,2654,BT-01,DPD-03
2286,591,BT-01,EL-01
3356,889,BT-01,EL-03
4941,1221,BT-01,EL-05
2990,1069,BT-01,FH-01
4151,1378,BT-01,FH-04
3097,1014,BT-01,ID-04
2627,796,BT-01,PS-04
2794,853,BT-01,PS-05
2190,656,BT-01,SLU-01
1689,489,BT-01,SLU-02
1501,414,BT-01,SLU-04
941,297,BT-01,SLU-07
1432,466,BT-01,SLU-15
2305,746,BT-01,SLU-16
1984,543,BT-01,SLU-17
725,262,BT-01,SLU-18
912,285,BT-01,SLU-19
1532,537,BT-01,SLU-20
1723,485,BT-01,SLU-21
10547,2213,BT-01,UD-01
8552,2008,BT-01,UD-02
7974,1821,BT-01,UD-04
8740,2168,BT-01,UD-07
9784,2227,BT-01,UW-01
8999,2210,BT-01,UW-02
8390,1905,BT-01,UW-04
9145,2055,BT-01,UW-06
9578,2087,BT-01,UW-07
8474,1859,BT-01,UW-10
773,251,BT-01,WF-01
1798,503,BT-01,WF-04
3551,1247,BT-01,CH-16
744,259,BT-01,SLU-22
8911,1967,BT-01,UW-11
1109,329,BT-01,WF-03
806,292,BT-01,Pronto shop
601,192,BT-03,BT-01
0,0,BT-03,BT-03
838,304,BT-03,BT-04
445,152,BT-03,BT-05
1643,531,BT-03,CBD-03
1446,460,BT-03,CBD-04
1718,410,BT-03,CBD-05
1473,400,BT-03,CBD-06
2171,755,BT-03,CBD-07
919,288,BT-03,CBD-13
3208,1214,BT-03,CD-01
2795,988,BT-03,CH-01
3526,1275,BT-03,CH-02
3329,1157,BT-03,CH-03
3955,1429,BT-03,CH-05
3411,1222,BT-03,CH-06
3429,1331,BT-03,CH-07
2973,1100,BT-03,CH-08
2682,1002,BT-03,CH-09
2327,825,BT-03,CH-12
4034,1384,BT-03,CH-15
1635,413,BT-03,DPD-01
12290,2693,BT-03,DPD-03
2418,630,BT-03,EL-01
3488,927,BT-03,EL-03
5073,1260,BT-03,EL-05
2566,960,BT-03,FH-01
3727,1269,BT-03,FH-04
2674,905,BT-03,ID-04
2203,687,BT-03,PS-04
2371,744,BT-03,PS-05
2321,674,BT-03,SLU-01
1658,460,BT-03,SLU-02
1631,431,BT-03,SLU-04
910,268,BT-03,SLU-07
1351,404,BT-03,SLU-15
1882,637,BT-03,SLU-16
2115,582,BT-03,SLU-17
768,239,BT-03,SLU-18
1014,311,BT-03,SLU-19
1807,509,BT-03,SLU-20
1791,479,BT-03,SLU-21
10679,2252,BT-03,UD-01
8684,2046,BT-03,UD-02
8105,1859,BT-03,UD-04
8872,2206,BT-03,UD-07
9916,2266,BT-03,UW-01
9131,2248,BT-03,UW-02
8522,1944,BT-03,UW-04
9277,2094,BT-03,UW-06
9710,2126,BT-03,UW-07
8606,1898,BT-03,UW-10
829,298,BT-03,WF-01
1376,442,BT-03,WF-04
3128,1138,BT-03,CH-16
746,218,BT-03,SLU-22
9043,2006,BT-03,UW-11
687,269,BT-03,WF-03
794,243,BT-03,Pronto shop
1014,383,BT-04,BT-01
793,277,BT-04,BT-03
0,0,BT-04,BT-04
648,247,BT-04,BT-05
1469,441,BT-04,CBD-03
1760,546,BT-04,CBD-04
1923,538,BT-04,CBD-05
1676,495,BT-04,CBD-06
2374,850,BT-04,CBD-07
1122,383,BT-04,CBD-13
3644,1189,BT-04,CD-01
1930,799,BT-04,CH-01
2661,1086,BT-04,CH-02
2463,968,BT-04,CH-03
3089,1240,BT-04,CH-05
2545,1033,BT-04,CH-06
2563,1142,BT-04,CH-07
2107,911,BT-04,CH-08
1817,813,BT-04,CH-09
1461,636,BT-04,CH-12
3168,1195,BT-04,CH-15
1217,261,BT-04,DPD-01
11872,2541,BT-04,DPD-03
2000,478,BT-04,EL-01
3070,776,BT-04,EL-03
4654,1109,BT-04,EL-05
2392,876,BT-04,FH-01
2862,1080,BT-04,FH-04
2877,999,BT-04,ID-04
2407,782,BT-04,PS-04
2574,838,BT-04,PS-05
1770,427,BT-04,SLU-01
1480,365,BT-04,SLU-02
1292,290,BT-04,SLU-04
731,148,BT-04,SLU-07
1102,253,BT-04,SLU-15
1017,448,BT-04,SLU-16
1697,431,BT-04,SLU-17
451,76,BT-04,SLU-18
1553,464,BT-04,SLU-19
1490,346,BT-04,SLU-20
1500,362,BT-04,SLU-21
10261,2100,BT-04,UD-01
8265,1895,BT-04,UD-02
7687,1708,BT-04,UD-04
8454,2055,BT-04,UD-07
9498,2115,BT-04,UW-01
8713,2097,BT-04,UW-02
8104,1792,BT-04,UW-04
8859,1943,BT-04,UW-06
9291,1975,BT-04,UW-07
8188,1747,BT-04,UW-10
1471,502,BT-04,WF-01
1546,550,BT-04,WF-04
2262,949,BT-04,CH-16
844,252,BT-04,SLU-22
8625,1855,BT-04,UW-11
1330,474,BT-04,WF-03
476,79,BT-04,Pronto shop
1046,291,BT-05,BT-01
445,99,BT-05,BT-03
433,140,BT-05,BT-04
0,0,BT-05,BT-05
1198,379,BT-05,CBD-03
1001,307,BT-05,CBD-04
1300,367,BT-05,CBD-05
1028,248,BT-05,CBD-06
1726,603,BT-05,CBD-07
474,136,BT-05,CBD-13
2763,1062,BT-05,CD-01
2350,836,BT-05,CH-01
3081,1123,BT-05,CH-02
2883,1005,BT-05,CH-03
3510,1277,BT-05,CH-05
2966,1069,BT-05,CH-06
2984,1179,BT-05,CH-07
2528,947,BT-05,CH-08
2237,850,BT-05,CH-09
1882,673,BT-05,CH-12
3589,1231,BT-05,CH-15
1449,347,BT-05,DPD-01
12103,2627,BT-05,DPD-03
2231,564,BT-05,EL-01
3327,881,BT-05,EL-03
4912,1214,BT-05,EL-05
2121,808,BT-05,FH-01
3282,1117,BT-05,FH-04
2229,752,BT-05,ID-04
1758,535,BT-05,PS-04
1926,592,BT-05,PS-05
1644,517,BT-05,SLU-01
1911,496,BT-05,SLU-02
1445,372,BT-05,SLU-04
886,226,BT-05,SLU-07
909,328,BT-05,SLU-15
1437,485,BT-05,SLU-16
1929,516,BT-05,SLU-17
882,206,BT-05,SLU-18
1459,411,BT-05,SLU-19
1363,436,BT-05,SLU-20
1669,458,BT-05,SLU-21
10492,2186,BT-05,UD-01
8497,1981,BT-05,UD-02
7919,1793,BT-05,UD-04
8685,2140,BT-05,UD-07
9729,2200,BT-05,UW-01
8944,2183,BT-05,UW-02
8335,1878,BT-05,UW-04
9090,2028,BT-05,UW-06
9523,2060,BT-05,UW-07
8420,1832,BT-05,UW-10
1123,346,BT-05,WF-01
896,315,BT-05,WF-04
2683,986,BT-05,CH-16
1191,317,BT-05,SLU-22
8856,1940,BT-05,UW-11
721,252,BT-05,WF-03
647,172,BT-05,Pronto shop
1921,597,CBD-03,BT-01
1642,480,CBD-03,BT-03
964,273,CBD-03,BT-04
1197,380,CBD-03,BT-05
0,0,CBD-03,CBD-03
291,106,CBD-03,CBD-04
1085,341,CBD-03,CBD-05
812,222,CBD-03,CBD-06
1486,585,CBD-03,CBD-07
753,277,CBD-03,CBD-13
3105,922,CBD-03,CD-01
1390,532,CBD-03,CH-01
2121,820,CBD-03,CH-02
1923,702,CBD-03,CH-03
2549,974,CBD-03,CH-05
2005,766,CBD-03,CH-06
2023,876,CBD-03,CH-07
1568,644,CBD-03,CH-08
1277,547,CBD-03,CH-09
922,370,CBD-03,CH-12
